CustomerID,FirstName,LastName,PlanType,MonthlyCharge,SubscriptionDate
1301,Benjamin,Barnes,Postpaid,47,2022-02-01
1302,Bernard,Hayes,Prepaid,28,2022-03-25
1303,Bethany,Simmons,Postpaid,54,2022-05-10
1304,Betty,Gray,Prepaid,29,2022-07-05
1305,Beverly,Woods,Postpaid,51,2022-09-12
1306,Bill,James,Prepaid,32,2022-10-02
1307,Blake,Myers,Postpaid,48,2023-03-20
1308,Bob,Long,Prepaid,30,2023-04-28
1309,Bradley,Riley,Postpaid,56,2023-06-30
1310,Brenda,Baker,Prepaid,28,2023-08-01
1311,Brett,Price,Postpaid,47,2023-09-11
1312,Brian,Morris,Prepaid,30,2023-10-15
1313,Brianna,Russell,Postpaid,54,2023-11-14
1314,Bridget,Stevens,Prepaid,27,2023-12-15
1315,Brigitte,Ross,Postpaid,49,2024-01-10
1316,Brittany,Crawford,Prepaid,28,2024-02-05
1317,Bruce,Black,Postpaid,46,2024-03-08
1318,Bruno,Gordon,Prepaid,29,2024-04-11
1319,Bryan,Harper,Postpaid,53,2024-05-21
1320,Bryce,Fisher,Prepaid,32,2024-06-01
